"CREATIONDATE","OBJECTDESC","TITLE","CLOSEDDATETIME","CASECLOSUREREASONDESCRIPTION"
"2025-06-15 00:00:00","2634 N 59TH ST","Illegal Auto Repair on Private Property","2025-06-16 00:00:00","Please keep my information confidential. Neighbors at 2634 n 59th street continue to work on cars on the street. Sometimes parking damaged and project vehicles as well as scrap on the street in front of other people's homes. They will be working on cars during the day as well as the evening, at times until 8pm."
"2025-06-15 00:00:00","3720 W FAIRMOUNT AV, MILWAUKEE, WI, 53209-5348","Scattered Litter and Debris on Private Property","","According to the constituent, trash has been left on the ground near the garbage cans. The City is refusing to collect the waste because residents are improperly disposing of trash by placing it inside the recycling bin and scattering it on the ground. As a result, sanitation services have declined pickup, and rodents have begun to congregate in the area in search of food due to the accumulation of garbage."
"2025-06-15 00:00:00","9719 W TOWER AV, MILWAUKEE, WI, 53224-2998","Brush Pickup Request, Less than 2 Cubic Yards, April-November","","Please pick up brush next to and west of the driveway as soon as possible, so that someone else will not have already moved in when DPW arrives. Thank you!"
"2025-06-15 00:00:00","1984 W CONGRESS ST, MILWAUKEE, WI, 53209-0000","Windows Broken or Missing","","Windows are busted out because they are continually being shot out"
"2025-06-15 00:00:00","300 S BARCLAY ST, MILWAUKEE, WI, 53204-1623","Bulky Pickup & San Inspector Notification","","POLICECALL P2506141211 // SOUTH OF LOCATION ON S BARCLAYS ST // EAST CURBLINE FOR ILLEGAL DUMPING // ONE PORCELAIN LIKE TOILET"
"2025-06-15 00:00:00","1011 W CENTER ST","Other Animal Problem","2025-06-16 00:00:00","Deer trapped on north division high school track"
"2025-06-15 00:00:00","4136 N 10TH ST, MILWAUKEE, WI, 53209-7004","Small Items Discarded on Private Property","","Bags of Garbage is located down the street from my house in our cul-de-sac."
"2025-06-15 00:00:00","3205 N 58TH ST, MILWAUKEE, WI, 53216-3123","Brush Pickup Request, Less than 2 Cubic Yards, April-November","2025-06-16 00:00:00",""
"2025-06-15 00:00:00","8310 W BURLEIGH ST, MILWAUKEE, WI, 53222-4806","Brush Pickup Request, Less than 2 Cubic Yards, April-November","","Branches in alley next to garbage carts"
"2025-06-15 00:00:00","2377 N 58TH ST, MILWAUKEE, WI, 53210-2209","Garbage Cart: Missing","","Neighbor said someone drove up and took one cart. One is missing."
"2025-06-15 00:00:00","547 E HOMER ST, MILWAUKEE, WI, 53207-1621","Brush Pickup Request, Less than 2 Cubic Yards, April-November","2025-06-16 00:00:00","Brush pile"
